,target_sentence,postcontext,substitutions
0,A mission to end a war,"AUSTIN, Texas -- Tom Karnes was dialing for destiny, but not everyone wanted to cooperate.","{'mission': ['calling 1', 'campaign 1', 'dedication 1', 'devotion 1', 'duty 1', 'effort 1', 'goal 2', 'initiative 1', 'intention 1', 'movement 1', 'plan 2', 'pursuit 1', 'quest 1', 'step 1', 'task 2'], 'end': ['abolish 1', 'cease 1', 'conclude 2', 'finish 4', 'halt 2', 'stop 5', 'terminate 2'], 'war': ['battle 3', 'combat 2', 'conflict 3', 'crusade 1', 'fight 5', 'struggle 1']}"
1,"A.L. Williams Corp. was merged into Primerica Corp., New York, after a special meeting of Williams shareholders cleared the transaction, the companies said.","Primerica, which had owned nearly 70% of Williams, will pay about 16.7 million shares, currently valued at almost $472 million, for the rest of Williams.","{'merged': ['absorb 1', 'assimilate 1', 'combine 1', 'join 1', 'take 1', 'tie 1'], 'special': ['exclusive 1', 'important 1', 'particular 1', 'specific 1', 'unscheduled 1'], 'meeting': ['assemblage 1', 'assembly 1', 'conference 4', 'convention 1', 'gathering 3', 'reunion 1'], 'shareholders': ['backer 1', 'holder 1', 'investor 1', 'owner 2', 'shareowners 1', 'stock owner 1', 'stockholder 3'], 'cleared': ['approve 1', 'assent to 1', 'authorize 2', 'diminish 1', 'okay 1', 'pass 2'], 'transaction': ['affair 1', 'deal 4', 'negotiation 1', 'proceeding 1', 'proposal 1', 'sale 1', 'venture 1'], 'companies': ['business 2', 'concern 1', 'corporation 3', 'firm 2', 'group 1', 'organization 1', 'party 1'], 'said': ['announce 1', 'cite 1', 'note 1', 'remark 1', 'state 4']}"
2,ANGELS MAKE TRADE TO GET OUTFIELD DEPTH,"ANAHEIM, Calif. -- The Anaheim Angels got help where they felt they needed it most, agreeing to trade for Milwaukee Brewers outfielder Alex Ochoa only hours before Wednesday's nonwaiver trading deadline.","{'MAKE': ['accept 1', 'arrange 1', 'carry out 1', 'conduct 1', 'do 2', 'execute 2', 'forge 1', 'generate 1', 'initiate 1', 'perform 1', 'settle 1', 'spawn 1'], 'TRADE': ['a way 1', 'barter 2', 'deal 2', 'exchange 2', 'player trade 1', 'procurement 1', 'swap 5', 'transaction 1'], 'GET': ['achieve 2', 'acquire 4', 'add 1', 'attain 2', 'bolster 1', 'capture 1', 'find 1', 'gain 1', 'glean 1', 'land 1', 'obtain 2', 'receive 1']}"
3,"CHRON EDITORS NOTE: Each week, The Chronicle offers readers a look at the more unusual fruits, vegetables and herbs of each season and how to use them.",THE PRODUCE BIN: Bitter melon,"{'NOTE': ['addendum 1', 'addition 1', 'comment 1', 'input 1', 'message 1', 'notice 1', 'post script 1', 'review 1'], 'week': ['period 1'], 'offers': ['bring 1', 'deliver 1', 'furnish 1', 'give 5', 'provide 2', 'show 1', 'supply 1'], 'readers': ['audience 1', 'fan 1', 'follower 3', 'subscriber 4', 'viewer 1'], 'look': ['gander 1', 'glance 1', 'glimpse 1', 'overview 1', 'peak 1', 'peek 1', 'view 3'], 'more': ['comparatively more 1', 'distinctively 1', 'exceptionally 1', 'great 1', 'most 3', 'rather 1', 'somewhat 1', 'truly 1', 'very 1'], 'unusual': ['amazing 1', 'awesome 1', 'exotic 2', 'odd 1', 'rare 1', 'special 1', 'strange 1', 'uncommon 1', 'unique 1'], 'fruits': ['crop 1', 'food 1', 'fruit specimen 1', 'plant 1', 'produce 3'], 'vegetables': ['herbage 1', 'plant 1', 'produce 2', 'vegetable specimen 1', 'veggies 2'], 'herbs': ['botanical 1', 'herbal specimen 1', 'plant 1', 'spice 1'], 'season': ['calendar season 1', 'grow season 1', 'period 2', 'quarter 1', 'term 1', 'time 1', 'year 2'], 'use': ['cook 3', 'eat 3', 'employ 1', 'fix 1', 'incorporate 1', 'make use of 1', 'prepare 1', 'serve 1', 'utilize 3']}"
4,"Coleco Industries Inc., a once high-flying toy maker whose stock peaked at $65 a share in the early 1980s, filed a Chapter 11 reorganization plan that provides just 1.125 cents a share for common stockholders.","Under the plan, unsecured creditors, who are owed about $430 million, would receive about $92 million, or 21 cents for each dollar they are owed.","{'once': ['before 1', 'formerly 1', 'in the past 1', 'old 1', 'one time 1', 'past 1', 'previously 3'], 'high': ['independently 1'], 'flying': ['earn 1', 'roll 1', 'soar 1'], 'toy': ['gadget 1', 'game 1', 'kid product 1', 'object 1', 'product 1', 'trinket 1'], 'maker': ['company 1', 'creator 1', 'manufacturer 3', 'owner 1', 'producer 2'], 'stock': ['share 6', 'stockholder 1'], 'peaked': ['culminate 1', 'end 1', 'hit high 1', 'plateaue 1', 'reach 1', 'reach a high 1', 'soar 1'], 'share': ['stock 5', 'stockholder 1', 'trade 1'], 'early': ['begin 4', 'past 1'], 'filed': ['claim 2', 'give 1', 'register 1', 'serve 1', 'submit 1'], 'Chapter': ['notice 1', 'section 1'], 'reorganization': ['changing 1', 'organization 1', 'regroup 1', 'rehabilitation 1', 'restructuring 1', 'restucturing 1'], 'plan': ['blueprint 1', 'idea 1', 'procedure 1', 'program 2', 'proposal 1', 'scheme 1', 'strategy 2', 'thought 1'], 'provides': ['allow 1', 'bring 1', 'earn 1', 'give 3', 'have 1', 'render 1', 'supply 1', 'yield 1'], 'just': ['merely 1', 'only 6', 'simply 1'], 'cents': ['pence 2', 'penny 2'], 'common': ['all 1', 'general 1', 'group 1', 'normal 2', 'ordinary 2', 'regular 2', 'standard 1'], 'stockholders': ['holder 1', 'owner 2', 'share owner 1', 'shareholder 3']}"
5,"Elco Industries Inc. said it expects net income in the year ending June 30, 1990, to fall below a recent analyst's estimate of $1.65 a share.","The Rockford, Ill., maker of fasteners also said it expects to post sales in the current fiscal year that are ""slightly above"" fiscal 1989 sales of $155 million.","{'said': ['announce 1', 'assert 1', 'cite 1', 'note 2', 'remark 1', 'state 4'], 'expects': ['anticipate 3', 'forecast 1', 'predict 2', 'think 1'], 'net': ['after tax 1', 'bottom line 1', 'clear 2', 'final 1', 'pre tax 1', 'profit 1', 'remain 1', 'take home 1', 'total 2', 'undeductible 1'], 'income': ['earning 3', 'gain 1', 'gross 1', 'profit 1', 'revenue 1'], 'year': ['annual 1', 'annum 1', 'period 3', 'season 1', 'term 1'], 'ending': ['close 1', 'conclude 1', 'finalize 1', 'finish 2', 'terminate 1'], 'fall': ['decrease 3', 'drop 3', 'go 2'], 'recent': ['current 2', 'late 1', 'new 4'], 'analyst': ['critic 1', 'expert 3', 'researcher 2', 'studier 1'], 'estimate': ['approximation 2', 'average 1', 'calculation 1', 'forecast 1', 'prediction 2'], 'share': ['piece 1', 'stock 4', 'trade 1']}"
6,Electronic theft by foreign and industrial spies and disgruntled employees is costing U.S. companies billions and eroding their international competitive advantage.,That was the message delivered by government and private security experts at an all-day conference on corporate electronic espionage.,"{'Electronic': ['anodic 1', 'computer 1', 'computerized 1', 'technology 2', 'voltaic 1'], 'theft': ['appropriation 1', 'burglary 1', 'espionage 1', 'filch 1', 'pilfer 1', 'piracy 2', 'shoplift 1', 'steal 4', 'thievery 2'], 'foreign': ['alien 3', 'estrange 1', 'exotic 1', 'immigrant 1', 'remote 1', 'strange 1'], 'industrial': ['business 2', 'economic 1', 'industrialized 1', 'manufacturing 1', 'mechanized 1', 'trade 1'], 'spies': ['agent 2', 'double 1', 'espionage 1', 'mole 1', 'plant 1', 'sleuth 1', 'undercover 2'], 'disgruntled': ['angry 4', 'crabby 1', 'critical 1', 'disaffected 1', 'discontent 2', 'displease 2', 'dissatisfied 1', 'feed up 1', 'irate 1', 'irritated 1', 'resentful 2', 'unhappy 1', 'upset 1'], 'employees': ['associate 1', 'jobholder 1', 'laborer 1', 'personnel 1', 'staff 1', 'subordinate 1', 'worker 6', 'workman 1'], 'costing': ['bear 1', 'cause 1', 'damage 1', 'lose 1', 'squander 1'], 'companies': ['business 3', 'corporation 2', 'employer 1', 'enterprize 1', 'firm 1', 'organization 1', 'store 1'], 'billions': ['load 1', 'lot 1', 'ton 2'], 'eroding': ['chip away at 1', 'corrode 1', 'crumble 2', 'damage 1', 'decrease 1', 'deteriorate 2', 'diminish 1', 'disrupt 1', 'impair 1', 'reduce 1', 'wear away 1', 'wear down 1', 'wither 1'], 'international': ['global 3', 'intercontinental 1', 'national 1', 'overall 1', 'overseas 1', 'universal 1', 'world wide 1', 'worldly 1', 'worldwide 2'], 'competitive': ['aggressive 2', 'ambitious 1', 'combative 1', 'contest 1', 'driven 1', 'economic 1', 'economical 1', 'good 1', 'reasonable 1', 'rival 1', 'unique 1'], 'advantage': ['authority 1', 'bonus 1', 'command 1', 'dominance 2', 'edge 1', 'favor 1', 'lead 1', 'stance 1', 'superiority 2', 'upper hand 1']}"
7,FALL BALLOT ISSUES set a record for off-year elections.,Odd-year elections attract relatively few ballot issues.,"{'FALL': ['November 1', 'October 1', 'September 1', 'autumn 4'], 'BALLOT': ['appoint 1', 'election 3', 'franchise 1', 'nominate 1', 'poll 1', 'referendum 1', 'tally 1', 'vote 2', 'voting 2'], 'ISSUES': ['argument 1', 'concern 2', 'controversy 1', 'debate 1', 'difficulty 1', 'dilemma 1', 'obstacle 1', 'problem 1', 'question 1', 'subject 2', 'topic 2'], 'set': ['conclude 1', 'conclude in 1', 'confirm 1', 'determine 1', 'fix 1', 'lock 1', 'make 2', 'obstinate 1', 'result in 1', 'root 1', 'settle 1'], 'record': ['benchmark 1', 'ceiling 1', 'high 4', 'mark 1', 'maximum 1', 'new goal 1'], 'year': ['annual 1', 'season 2', 'term 1'], 'elections': ['ballot 1', 'race 1', 'vote 1', 'voting 2']}"
8,First of America Bank Corp. said it completed its acquisition of Midwest Financial Group Inc. for about $250 million.,"First of America, which now has 45 banks and $12.5 billion in assets, announced an agreement to acquire the Peoria, Ill., bank holding company in January.","{'said': ['announce 1', 'cite 1', 'declare 1', 'imply 2', 'note 1', 'say 1', 'state 3'], 'completed': ['complete 1', 'end 1', 'finalize 2', 'finish 5', 'own 1'], 'acquisition': ['acquire 1', 'assimilation 1', 'buy 1', 'gain 2', 'hold 1', 'ownership 1', 'procurement 1', 'secure 1', 'take over 2', 'transferral 1']}"
9,GOODY PRODUCTS Inc. cut its quarterly dividend to five cents a share from 11.5 cents a share.,The reduced dividend is payable Jan. 2 to stock of record Dec. 15.,"{'cut': ['decrease 2', 'divide 1', 'lower 2', 'pare 1', 'reduce 2', 'slash 1', 'split 1', 'trim 1'], 'quarterly': ['3 month 1', 'four month 1', 'periodic 2', 'quarter period 1', 'seasonal 1', 'semester 1'], 'dividend': ['compensation 1', 'disbursement 1', 'earning 1', 'payment 2', 'profit 1', 'return 1', 'share profit 1', 'yield 1'], 'cents': ['penny 3'], 'share': ['market share 1', 'part 1', 'piece 1', 'portion 1', 'stock 4', 'trading unit 1']}"
